नेपाल सरकारको अर्थमन्त्रीको हैसियतले आर्थिक वर्ष २०८१/८२ को बजेट प्रस्तुत गर्न यस सम्मानित सदनमा उपस्थित भएको छु।	As the Finance Minister of the Government of Nepal, I am here in this august Parliament to present the budget for the fiscal year 2024/25.
सर्वप्रथम, गणतन्त्र दिवसको अवसरमा सम्पूर्ण नेपाली दिदीबहिनी तथा दाजुभाइमा हार्दिक शुभकामना व्यक्त गर्दछु।	On the occasion of the 17th Republic Day, first of all, I extend my best wishes to all Nepali brothers and sisters. 
नेपालका प्रथम शहीद लखन थापा, २००७ सालको परिवर्तन, २०४६ सालको आन्दोलन, २०५२ सालको जनयुद्ध, २०६२/६३ को जनआन्दोलन, मधेश आन्दोलन, आदिवासी जनजाति आन्दोलन लगायत सम्पूर्ण लोकतान्त्रिक आन्दोलनका महान शहीदहरूलाई हार्दिक श्रद्धाञ्जली अर्पण गर्दछु।	I pay my heartfelt tribute to great martyrs of all the democratic movements including Lakhan Thapa, the first martyr of Nepal, great martyrs of revolution of 1950, movement of 1990, people’s war of 1995, people’s movement of 2005/06, Madhesh movement, Adibasi Janjati movements.
बेपत्ता परिवार, घाइते, अपांगता भएका व्यक्तिहरूसहित सबै जनसमुदायलाई उच्च सम्मान प्रकट गर्दछु।	I express my respect to all communities including the families of missing persons, injured and persons with disabilities. 
केही समयदेखि शिथिल रहेको मुलुकको अर्थतन्त्र सरकारको निरन्तर प्रयासबाट चलायमान हुँदै गएको छ।	The country's economy, which has been sluggish for some time, is becoming vibrant with the continuous efforts of the government.
विगतमा सुरु गरेका आर्थिक सुधारका उपलब्धिहरूलाई संस्थागत गर्दै बदलिंदो विश्व अर्थव्यवस्था र नेपालको वर्तमान आवश्यकतालाई दृष्टिगत गरी अर्थतन्त्रलाई सबल र उत्प्रेरित बनाउन आवश्यक ठानेको छु।	I think it is necessary to institutionalise the achievements of economic reforms initiated in the past and make the economy strong and resilient in view of the changing global economy and Nepal's actual needs.
संविधानको परिकल्पना अनुसार, राष्ट्र अर्थतन्त्रलाई आत्मनिर्भर, स्वावलम्बी तथा उत्कर्षशील बनाउँदै समाजवाद उन्मुख समृद्ध राष्ट्र निर्माणका लागि नयाँ चरणको आर्थिक सुधार आवश्यक देखिएको छ।	A new phase of economic reform is necessary to build a socialism-oriented prosperous nation by making the national economy self-reliant, independent and progressive as envisioned by the constitution.
बजेटलाई आर्थिक तथा सामाजिक क्षेत्रहरूमा देखिएका चुनौतीहरूको सम्बोधन गर्दै आम नागरिकमा आत्मविश्वास र आशा जगाउने दस्तावेजको रूपमा प्रस्तुत गरेको छु।	I have presented the Budget as a document to instil self-confidence and hope in the common citizen by addressing the challenges witnessed in the economic and social sector.
समृद्ध नेपाल, सुखी नेपालीको राष्ट्रिय आकांक्षा पूरा गर्न र आर्थिक सुधारका कार्यक्रम अगाडि बढाउन आगामी आर्थिक वर्षलाई आर्थिक सुधारको वर्ष घोषणा गरेको छु।	I have declared the next fiscal year as the year of economic reform to fulfil the national aspirations of prosperous Nepal and Happy Nepali and to carry out the program of economic reform
तेह्रो लगानी सम्मेलन उत्साहपूर्ण रूपमा सम्पन्न भएको छ।	The Third Investment Summit has been concluded with enthusiasm.
सम्मेलनमा प्रमुख राजनीतिक दलबाट लगानीमैत्री वातावरण निर्माण गर्न र निजी क्षेत्रको आत्मबल बढाउन सामूहिक प्रतिबद्धता व्यक्त भएको छ।	In the summit, the majorpolitical parties expressed a collective commitment to create an investment-friendly environment and increase the confidence of the private sector. 
